,name,price,review_count,rating,barrio,address
0,Victoria Brown,$$,175,4.0,Palermo,"Costa Rica 4821, C1414BSM Buenos Aires, Argentina"
1,La Alacena,$$,60,4.0,Palermo,"Gascón 1401, C1181 Buenos Aires, Argentina"
2,Café Crespín,$$,111,4.0,Villa Crespo,"Vera 699, 1414 Buenos Aires, Argentina"
3,Home Bar & Restaurant,$$$,32,4.5,Palermo,"Honduras 5860, Buenos Aires, Argentina"
4,L’Orangerie,$$$,16,5.0,Recoleta,"Av. Alvear 1891, 1129 Buenos Aires, Argentina"
5,Birkin,$$$,9,4.5,Palermo,"Nicaragua 6025, C1414 Buenos Aires, Argentina"
6,Cocu,$$,95,4.0,Palermo,"Malabia 1510, C1414DMF Buenos Aires, Argentina"
7,Cafe Blue’s,$$,2,5.0,Recoleta,"Arenales 2932, C1425 Buenos Aires, Argentina"
8,Brandon,$$$,83,4.0,Palermo,"Fitz Roy 1722, C1414 Buenos Aires, Argentina"
9,Malvón,$$,119,3.5,Villa Crespo,"Serrano 789, C1425DEO Buenos Aires, Argentina"
10,Adorado,$$,39,4.0,Palermo,"Nicaragua 5856, 1414 Buenos Aires, Argentina"
11,Méli Mélo,$$,19,4.5,Belgrano,"Av. del Libertador 5990, C1428ARP Buenos Aires, Argentina"
12,Croque Madame,$$,53,4.0,Belgrano,"Vuelta de Obligado 2155, 1428 Buenos Aires, Argentina"
13,Farinelli,$$,29,4.0,Retiro,"Arroyo 900, Buenos Aires, Argentina"
14,Harturo,$$$,15,4.0,Recoleta,"Vicente Lopez 1662, C1018 Buenos Aires, Argentina"
15,Ninina,$$,200,3.5,Palermo,"Gorriti 4738, 1414 Buenos Aires, Argentina"
16,Panachef,$$,34,4.5,Recoleta,"Sánchez de Bustamante 1470, C1425 Buenos Aires, Argentina"
17,Tipo Siete,$$,28,4.0,Palermo,"Armenia 1315, C1414DKC Buenos Aires, Argentina"
18,La Trufa,$$,22,4.0,Colegiales,"Av. Álvarez Thomas 869, 1426 Buenos Aires, Argentina"
19,Ol’days,$$,32,4.0,Puerto Madero,"Olga Cossettini 1182, 1107 Buenos Aires, Argentina"
20,Bacan,$$$,17,4.0,San Telmo,"Av. Caseros 402, Buenos Aires, Argentina"
21,Usina Cafetera,$$,70,4.0,Villa Urquiza,"Av. Triunvirato 4307, 1431 Buenos Aires, Argentina"
22,Farinelli,$$,15,4.0,Palermo,"Bulnes 2707, Buenos Aires, Argentina"
23,Croque Madame,$$,5,4.0,Recoleta,"Agüero 1586, C1425 Buenos Aires, Argentina"
24,Vive Café,$,9,4.5,Palermo,"Costa Rica 5722, C1414BTH Buenos Aires, Argentina"
25,Croque Madame,$$,40,4.0,Palermo,"Av. del Libertador 1902, 1425 Buenos Aires, Argentina"
26,Gretelmanía,$$$,1,5.0,Nuñez,"Nuñez 2880, Buenos Aires, Argentina"
27,Bacan,$$,17,4.0,San Telmo,"Av. Caseros 402, Buenos Aires, Argentina"
